"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Aid","PHB'24","239","2nd","Action","8 hours","Abjuration","30 feet","V, S, M (a strip of white cloth)","Artificer, Bard, Cleric, Druid, Paladin, Ranger","","Choose up to three creatures within range. Each target's Hit Point maximum and current Hit Points increase by 5 for the duration."," Using a Higher-Level Spell Slot. Each target's Hit Points increase by 5 for each spell slot level above 2."
"Animate Dead","PHB'24","240","3rd","1 Min.","Instantaneous","Necromancy","10 feet","V, S, M (a drop of blood, a piece of flesh, and a pinch of bone dust)","Cleric, Wizard","","Choose a pile of bones or a corpse of a Medium or Small Humanoid within range. The target becomes an Undead creature: a Skeleton if you chose bones or a Zombie if you chose a corpse.On each of your turns, you can take a Bonus Action to mentally command any creature you made with this spell if the creature is within 60 feet of you (if you control multiple creatures, you can command any of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move on its next turn, or you can issue a general command, such as to guard a chamber or corridor. If you issue no commands, the creature takes the Dodge action and moves only to avoid harm. Once given an order, the creature continues to follow it until its task is complete.The creature is under your control for 24 hours, after which it stops obeying any command you've given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature again before the current 24-hour period ends. This use of the spell reasserts your control over up to four creatures you have animated with this spell rather than animating a new creature."," Using a Higher-Level Spell Slot. You animate or reassert control over two additional Undead creatures for each spell slot level above 3. Each of the creatures must come from a different corpse or pile of bones."
"Antimagic Field","PHB'24","241","8th","Action","Concentration, up to 1 hour","Abjuration","Self","V, S, M (iron filings)","Cleric, Wizard","","An aura of antimagic surrounds you in 10-foot Emanation. No one can cast spells, take Magic actions, or create other magical effects inside the aura, and those things can't target or otherwise affect anything inside it. Magical properties of magic items don't work inside the aura or on anything inside it.Areas of effect created by spells or other magic can't extend into the aura, and no one can teleport into or out of it or use planar travel there. Portals close temporarily while in the aura.Ongoing spells, except those cast by an Artifact or a deity, are suppressed in the area. While an effect is suppressed, it doesn't function, but the time it spends suppressed counts against its duration.Dispel Magic has no effect on the aura, and the auras created by different Antimagic Field spells don't nullify each other.",""
"Astral Projection","PHB'24","243","9th","1 Hr.","Until dispelled","Necromancy","10 feet","V, S, M (for each of the spell's targets, one jacinth worth 1,000+ GP and one silver bar worth 100+ GP, all of which the spell consumes)","Cleric, Warlock, Wizard","","You and up to eight willing creatures within range project your astral bodies into the Astral Plane (the spell ends instantly if you are already on that plane). Each target's body is left behind in a state of suspended animation; it has the Unconscious condition, doesn't need food or air, and doesn't age.A target's astral form resembles its body in almost every way, replicating its game statistics and possessions. The principal difference is the addition of a silvery cord that trails from between the shoulder blades of the astral form. The cord fades from view after 1 foot. If the cord is cut—which happens only when an effect states that it does so—the target's body and astral form both die.A target's astral form can travel through the Astral Plane. The moment an astral form leaves that plane, the target's body and possessions travel along the silver cord, causing the target to re-enter its body on the new plane.Any damage or other effects that apply to an astral form have no effect on the target's body and vice versa. If a target's body or astral form drops to 0 Hit Points, the spell ends for that target. The spell ends for all the targets if you take a Magic action to dismiss it.When the spell ends for a target who isn't dead, the target reappears in its body and exits the state of suspended animation.",""
"Augury","PHB'24","244","2nd","1 Min.","Instantaneous","Divination (ritual)","Self","V, S, M (specially marked sticks, bones, cards, or other divinatory tokens worth 25+ GP)","Cleric, Druid, Wizard","","You receive an omen from an otherworldly entity about the results of a course of action that you plan to take within the next 30 minutes. The DM chooses the omen from the Omens table.OmensOmenFor Results That Will Be...WealGoodWoeBadWeal and woeGood and badIndifferenceNeither good nor badThe spell doesn't account for circumstances, such as other spells, that might change the results.If you cast the spell more than once before finishing a Long Rest, there is a cumulative 25 percent chance for each casting after the first that you get no answer.",""
"Aura of Life","PHB'24","244","4th","Action","Concentration, up to 10 minutes","Abjuration","Self","V","Cleric, Paladin","","An aura radiates from you in a 30-foot Emanation for the duration. While in the aura, you and your allies have Resistance to Necrotic damage, and your Hit Point maximums can't be reduced. If an ally with 0 Hit Points starts its turn in the aura, that ally regains 1 Hit Point.",""
"Aura of Purity","PHB'24","244","4th","Action","Concentration, up to 10 minutes","Abjuration","Self","V","Cleric, Paladin","","An aura radiates from you in a 30-foot Emanation for the duration. While in the aura, you and your allies have Resistance to Poison damage and Advantage on saving throws to avoid or end effects that include the Blinded, Charmed, Deafened, Frightened, Paralyzed, Poisoned, or Stunned condition.",""
"Aura of Vitality","PHB'24","244","3rd","Action","Concentration, up to 1 minute","Abjuration","Self","V","Cleric, Druid, Paladin","","An aura radiates from you in a 30-foot Emanation for the duration. When you create the aura and at the start of each of your turns while it persists, you can restore 2d6 Hit Points to one creature in it.",""
"Bane","PHB'24","245","1st","Action","Concentration, up to 1 minute","Enchantment","30 feet","V, S, M (a drop of blood)","Bard, Cleric, Warlock","","Up to three creatures of your choice that you can see within range must each make a Charisma saving throw. Whenever a target that fails this save makes an attack roll or a saving throw before the spell ends, the target must subtract 1d4 from the attack roll or save."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1."
"Banishment","PHB'24","245","4th","Action","Concentration, up to 1 minute","Abjuration","30 feet","V, S, M (a pentacle)","Cleric, Paladin, Sorcerer, Warlock, Wizard","","One creature that you can see within range must succeed on a Charisma saving throw or be transported to a harmless demiplane for the duration. While there, the target has the Incapacitated condition. When the spell ends, the target reappears in the space it left or in the nearest unoccupied space if that space is occupied.If the target is an Aberration, a Celestial, an Elemental, a Fey, or a Fiend, the target doesn't return if the spell lasts for 1 minute. The target is instead transported to a random location on a plane (DM's choice) associated with its creature type."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4."
"Beacon of Hope","PHB'24","245","3rd","Action","Concentration, up to 1 minute","Abjuration","30 feet","V, S","Cleric","","Choose any number of creatures within range. For the duration, each target has Advantage on Wisdom saving throws and Death Saving Throws and regains the maximum number of Hit Points possible from any healing.",""
