"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Absorb Elements","XGE","150","1st","Reaction","1 round","Abjuration","Self","S","Artificer, Druid, Druid, Ranger, Ranger, Sorcerer, Sorcerer, Wizard, Wizard","","The spell captures some of the incoming energy, lessening its effect on you and storing it for your next melee attack. You have resistance to the triggering damage type until the start of your next turn. Also, the first time you hit with a melee attack on your next turn, the target takes an extra 1d6 damage of the triggering type, and the spell ends."," At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the extra damage increases by 1d6 for each slot level above 1st."
"Aid","PHB'24","239","2nd","Action","8 hours","Abjuration","30 feet","V, S, M (a strip of white cloth)","Artificer, Bard, Cleric, Druid, Paladin, Ranger","","Choose up to three creatures within range. Each target's Hit Point maximum and current Hit Points increase by 5 for the duration."," Using a Higher-Level Spell Slot. Each target's Hit Points increase by 5 for each spell slot level above 2."
"Air Bubble","AAG","22","2nd","Action","24 hours","Conjuration","60 feet","S","Artificer, Druid, Druid, Ranger, Ranger, Sorcerer, Sorcerer, Wizard, Wizard","","You create a spectral globe around the head of a willing creature you can see within range. The globe is filled with fresh air that lasts until the spell ends. If the creature has more than one head, the globe of air appears around only one of its heads (which is all the creature needs to avoid suffocation, assuming that all its heads share the same respiratory system)."," At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, you can create two additional globes of fresh air for each slot level above 2nd."
"Animal Friendship","PHB'24","239","1st","Action","24 hours","Enchantment","30 feet","V, S, M (a morsel of food)","Bard, Druid, Ranger","","Target a Beast that you can see within range. The target must succeed on a Wisdom saving throw or have the Charmed condition for the duration. If you or one of your allies deals damage to the target, the spells ends."," Using a Higher-Level Spell Slot. You can target one additional Beast for each spell slot level above 1."
"Animal Messenger","PHB'24","240","2nd","Action","24 hours","Enchantment (ritual)","30 feet","V, S, M (a morsel of food)","Bard, Druid, Ranger","","A Tiny Beast of your choice that you can see within range must succeed on a Charisma saving throw, or it attempts to deliver a message for you (if the target's Challenge Rating isn't 0, it automatically succeeds). You specify a location you have visited and a recipient who matches a general description, such as ""a person dressed in the uniform of the town guard"" or ""a red-haired dwarf wearing a pointed hat."" You also communicate a message of up to twenty-five words. The Beast travels for the duration toward the specified location, covering about 25 miles per 24 hours or 50 miles if the Beast can fly.When the Beast arrives, it delivers your message to the creature that you described, mimicking your communication. If the Beast doesn't reach its destination before the spell ends, the message is lost, and the Beast returns to where you cast the spell."," Using a Higher-Level Spell Slot. The spell's duration increases by 48 hours for each spell slot level above 2."
"Animal Shapes","PHB'24","240","8th","Action","24 hours","Transmutation","30 feet","V, S","Druid","","Choose any number of willing creatures that you can see within range. Each target shape-shifts into a Large or smaller Beast of your choice that has a Challenge Rating of 4 or lower. You can choose a different form for each target. On later turns, you can take a Magic action to transform the targets again.A target's game statistics are replaced by the chosen Beast's statistics, but the target retains its creature type; Hit Points; Hit Point Dice; alignment; ability to communicate; and Intelligence, Wisdom, and Charisma scores. The target's actions are limited by the Beast form's anatomy, and it can't cast spells. The target's equipment melds into the new form, and the target can't use any of that equipment while in that form.The target gains a number of Temporary Hit Points equal to the Hit Points of the first form into which it shape-shifts. These Temporary Hit Points vanish if any remain when the spell ends. The transformation lasts for the duration or until the target ends it as a Bonus Action.",""
"Antilife Shell","PHB'24","241","5th","Action","Concentration, up to 1 hour","Abjuration","Self","V, S","Druid","","An aura extends from you in a 10-foot Emanation for the duration. The aura prevents creatures other than Constructs and Undead from passing or reaching through it. An affected creature can cast spells or make attacks with Ranged or Reach weapons through the barrier.If you move so that an affected creature is forced to pass through the barrier, the spell ends.",""
"Antipathy/Sympathy","PHB'24","242","8th","1 Hr.","10 days","Enchantment","60 feet","V, S, M (a mix of vinegar and honey)","Bard, Druid, Wizard","","As you cast the spell, choose whether it creates antipathy or sympathy, and target one creature or object that is Huge or smaller. Then specify a kind of creature, such as red dragons, goblins, or vampires. A creature of the chosen kind makes a Wisdom saving throw when it comes within 120 feet of the target. Your choice of antipathy or sympathy determines what happens to a creature when it fails that save:Antipathy. The creature has the Frightened condition. The Frightened creature must use its movement on its turns to get as far away as possible from the target, moving by the safest route.Sympathy. The creature has the Charmed condition. The Charmed creature must use its movement on its turns to get as close as possible to the target, moving by the safest route. If the creature is within 5 feet of the target, the creature can't willingly move away. If the target damages the Charmed creature, that creature can make a Wisdom saving throw to end the effect, as described below. Ending the Effect. If the Frightened or Charmed creature ends its turn more than 120 feet away from the target, the creature makes a Wisdom saving throw. On a successful save, the creature is no longer affected by the target. A creature that successfully saves against this effect is immune to it for 1 minute, after which it can be affected again.",""
"Augury","PHB'24","244","2nd","1 Min.","Instantaneous","Divination (ritual)","Self","V, S, M (specially marked sticks, bones, cards, or other divinatory tokens worth 25+ GP)","Cleric, Druid, Wizard","","You receive an omen from an otherworldly entity about the results of a course of action that you plan to take within the next 30 minutes. The DM chooses the omen from the Omens table.OmensOmenFor Results That Will Be...WealGoodWoeBadWeal and woeGood and badIndifferenceNeither good nor badThe spell doesn't account for circumstances, such as other spells, that might change the results.If you cast the spell more than once before finishing a Long Rest, there is a cumulative 25 percent chance for each casting after the first that you get no answer.",""
"Aura of Vitality","PHB'24","244","3rd","Action","Concentration, up to 1 minute","Abjuration","Self","V","Cleric, Druid, Paladin","","An aura radiates from you in a 30-foot Emanation for the duration. When you create the aura and at the start of each of your turns while it persists, you can restore 2d6 Hit Points to one creature in it.",""
"Awaken","PHB'24","244","5th","8 Hr.","Instantaneous","Transmutation","Touch","V, S, M (an agate worth 1,000+ GP, which the spell consumes)","Bard, Druid","","You spend the casting time tracing magical pathways within a precious gemstone, and then touch the target. The target must be either a Beast or Plant creature with an Intelligence of 3 or less or a natural plant that isn't a creature. The target gains an Intelligence of 10 and the ability to speak one language you know. If the target is a natural plant, it becomes a Plant creature and gains the ability to move its limbs, roots, vines, creepers, and so forth, and it gains senses similar to a human's. The DM chooses statistics appropriate for the awakened Plant, such as the statistics for the Awakened Shrub or Awakened Tree in the Monster Manual.The awakened target has the Charmed condition for 30 days or until you or your allies deal damage to it. When that condition ends, the awakened creature chooses its attitude toward you.",""
"Barkskin","PHB'24","245","2nd","Bonus","1 hour","Transmutation","Touch","V, S, M (a handful of oak bark)","Druid, Ranger","","You touch a willing creature. Until the spell ends, the target's skin assumes a bark-like appearance, and the target has an Armor Class of 17 if its AC is lower than that.",""
"Beast Bond","XGE","150","1st","Action","Concentration, up to 10 minutes","Divination","Touch","V, S, M (a bit of fur wrapped in a cloth)","Druid, Druid, Ranger, Ranger","","You establish a telepathic link with one beast you touch that is friendly to you or charmed by you. The spell fails if the beast's Intelligence score is 4 or higher. Until the spell ends, the link is active while you and the beast are within line of sight of each other. Through the link, the beast can understand your telepathic messages to it, and it can telepathically communicate simple emotions and concepts back to you. While the link is active, the beast gains advantage on attack rolls against any creature within 5 feet of you that you can see.",""
"Beast Sense","PHB'24","245","2nd","Action","Concentration, up to 1 hour","Divination (ritual)","Touch","S","Druid, Ranger","","You touch a willing Beast. For the duration, you can perceive through the Beast's senses as well as your own. When perceiving through the Beast's senses, you benefit from any special senses it has.",""
"Befuddlement","PHB'24","245","8th","Action","Instantaneous","Enchantment","150 feet","V, S, M (a key ring with no keys)","Bard, Druid, Warlock, Wizard","","You blast the mind of a creature that you can see within range. The target makes an Intelligence saving throw.On a failed save, the target takes 10d12 Psychic damage and can't cast spells or take the Magic action. At the end of every 30 days, the target repeats the save, ending the effect on a success. The effect can also be ended by the Greater Restoration, Heal, or Wish spell.On a successful save, the target takes half as much damage only.",""
"Blight","PHB'24","247","4th","Action","Instantaneous","Necromancy","30 feet","V, S","Druid, Sorcerer, Warlock, Wizard","","A creature that you can see within range makes a Constitution saving throw, taking 8d8 Necrotic damage on a failed save or half as much damage on a successful one. A Plant creature automatically fails the save.Alternatively, target a nonmagical plant that isn't a creature, such as a tree or shrub. It doesn't make a save; it simply withers and dies."," Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4."
