"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Absorb Elements","XGE","150","1st","Reaction","1 round","Abjuration","Self","S","Artificer, Druid, Druid, Ranger, Ranger, Sorcerer, Sorcerer, Wizard, Wizard","","The spell captures some of the incoming energy, lessening its effect on you and storing it for your next melee attack. You have resistance to the triggering damage type until the start of your next turn. Also, the first time you hit with a melee attack on your next turn, the target takes an extra 1d6 damage of the triggering type, and the spell ends."," At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the extra damage increases by 1d6 for each slot level above 1st."
"Aid","PHB'24","239","2nd","Action","8 hours","Abjuration","30 feet","V, S, M (a strip of white cloth)","Artificer, Bard, Cleric, Druid, Paladin, Ranger","","Choose up to three creatures within range. Each target's Hit Point maximum and current Hit Points increase by 5 for the duration."," Using a Higher-Level Spell Slot. Each target's Hit Points increase by 5 for each spell slot level above 2."
"Air Bubble","AAG","22","2nd","Action","24 hours","Conjuration","60 feet","S","Artificer, Druid, Druid, Ranger, Ranger, Sorcerer, Sorcerer, Wizard, Wizard","","You create a spectral globe around the head of a willing creature you can see within range. The globe is filled with fresh air that lasts until the spell ends. If the creature has more than one head, the globe of air appears around only one of its heads (which is all the creature needs to avoid suffocation, assuming that all its heads share the same respiratory system)."," At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, you can create two additional globes of fresh air for each slot level above 2nd."
"Alarm","PHB'24","239","1st","1 Min.","8 hours","Abjuration (ritual)","30 feet","V, S, M (a bell and silver wire)","Artificer, Ranger, Wizard","","You set an alarm against intrusion. Choose a door, a window, or an area within range that is no larger than a 20-foot Cube. Until the spell ends, an alarm alerts you whenever a creature touches or enters the warded area. When you cast the spell, you can designate creatures that won't set off the alarm. You also choose whether the alarm is audible or mental:Audible Alarm. The alarm produces the sound of a handbell for 10 seconds within 60 feet of the warded area.Mental Alarm. You are alerted by a mental ping if you are within 1 mile of the warded area. This ping awakens you if you're asleep.",""
"Animal Friendship","PHB'24","239","1st","Action","24 hours","Enchantment","30 feet","V, S, M (a morsel of food)","Bard, Druid, Ranger","","Target a Beast that you can see within range. The target must succeed on a Wisdom saving throw or have the Charmed condition for the duration. If you or one of your allies deals damage to the target, the spells ends."," Using a Higher-Level Spell Slot. You can target one additional Beast for each spell slot level above 1."
"Animal Messenger","PHB'24","240","2nd","Action","24 hours","Enchantment (ritual)","30 feet","V, S, M (a morsel of food)","Bard, Druid, Ranger","","A Tiny Beast of your choice that you can see within range must succeed on a Charisma saving throw, or it attempts to deliver a message for you (if the target's Challenge Rating isn't 0, it automatically succeeds). You specify a location you have visited and a recipient who matches a general description, such as ""a person dressed in the uniform of the town guard"" or ""a red-haired dwarf wearing a pointed hat."" You also communicate a message of up to twenty-five words. The Beast travels for the duration toward the specified location, covering about 25 miles per 24 hours or 50 miles if the Beast can fly.When the Beast arrives, it delivers your message to the creature that you described, mimicking your communication. If the Beast doesn't reach its destination before the spell ends, the message is lost, and the Beast returns to where you cast the spell."," Using a Higher-Level Spell Slot. The spell's duration increases by 48 hours for each spell slot level above 2."
"Ashardalon's Stride","FTD","19","3rd","Bonus","Concentration, up to 1 minute","Transmutation","Self","V, S","Artificer, Ranger, Ranger, Sorcerer, Sorcerer, Wizard, Wizard","","The billowing flames of a dragon blast from your feet, granting you explosive speed. For the duration, your speed increases by 20 feet and moving doesn't provoke opportunity attacks.When you move within 5 feet of a creature or an object that isn't being worn or carried, it takes 1d6 fire damage from your trail of heat. A creature or object can take this damage only once during a turn."," At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, increase your speed by 5 feet for each spell slot level above 3rd. The spell deals an additional 1d6 fire damage for each slot level above 3rd."
"Barkskin","PHB'24","245","2nd","Bonus","1 hour","Transmutation","Touch","V, S, M (a handful of oak bark)","Druid, Ranger","","You touch a willing creature. Until the spell ends, the target's skin assumes a bark-like appearance, and the target has an Armor Class of 17 if its AC is lower than that.",""
"Beast Bond","XGE","150","1st","Action","Concentration, up to 10 minutes","Divination","Touch","V, S, M (a bit of fur wrapped in a cloth)","Druid, Druid, Ranger, Ranger","","You establish a telepathic link with one beast you touch that is friendly to you or charmed by you. The spell fails if the beast's Intelligence score is 4 or higher. Until the spell ends, the link is active while you and the beast are within line of sight of each other. Through the link, the beast can understand your telepathic messages to it, and it can telepathically communicate simple emotions and concepts back to you. While the link is active, the beast gains advantage on attack rolls against any creature within 5 feet of you that you can see.",""
"Beast Sense","PHB'24","245","2nd","Action","Concentration, up to 1 hour","Divination (ritual)","Touch","S","Druid, Ranger","","You touch a willing Beast. For the duration, you can perceive through the Beast's senses as well as your own. When perceiving through the Beast's senses, you benefit from any special senses it has.",""
"Commune with Nature","PHB'24","252","5th","1 Min.","1 minute","Divination (ritual)","Self","V, S","Druid, Ranger","","You commune with nature spirits and gain knowledge of the surrounding area. In the outdoors, the spell gives you knowledge of the area within 3 miles of you. In caves and other natural underground settings, the radius is limited to 300 feet. The spell doesn't function where nature has been replaced by construction, such as in castles and settlements.Choose three of the following facts; you learn those facts as they pertain to the spell's area:Locations of settlementsLocations of portals to other planes of existenceLocation of one Challenge Rating 10+ creature (DM's choice) that is a Celestial, an Elemental, a Fey, a Fiend, or an UndeadThe most prevalent kind of plant, mineral, or Beast (you choose which to learn)Locations of bodies of waterFor example, you could determine the location of a powerful monster in the area, the locations of bodies of water, and the locations of any towns.",""
"Conjure Animals","PHB'24","254","3rd","Action","Concentration, up to 10 minutes","Conjuration","60 feet","V, S","Druid, Ranger","","You conjure nature spirits that appear as a Large pack of spectral, intangible animals in an unoccupied space you can see within range. The pack lasts for the duration, and you choose the spirits' animal form, such as wolves, serpents, or birds.You have Advantage on Strength saving throws while you're within 5 feet of the pack, and when you move on your turn, you can also move the pack up to 30 feet to an unoccupied space you can see.Whenever the pack moves within 10 feet of a creature you can see and whenever a creature you can see enters a space within 10 feet of the pack or ends its turn there, you can force that creature to make a Dexterity saving throw. On a failed save, the creature takes 3d10 Slashing damage. A creature makes this save only once per turn."," Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3."
"Conjure Barrage","PHB'24","254","3rd","Action","Instantaneous","Conjuration","Self","V, S, M (a Melee or Ranged weapon worth at least 1 CP)","Ranger","","You brandish the weapon used to cast the spell and conjure similar spectral weapons (or ammunition appropriate to the weapon) that launch forward and then disappear. Each creature of your choice that you can see in a 60-foot Cone makes a Dexterity saving throw, taking 5d8 Force damage on a failed save or half as much damage on a successful one."," Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 3."
"Conjure Volley","PHB'24","255","5th","Action","Instantaneous","Conjuration","150 feet","V, S, M (a Melee or Ranged weapon worth at least 1 CP)","Ranger","","You brandish the weapon used to cast the spell and choose a point within range. Hundreds of similar spectral weapons (or ammunition appropriate to the weapon) fall in a volley and then disappear. Each creature of your choice that you can see in a 40-foot-radius, 20-foot-high Cylinder centered on that point makes a Dexterity saving throw. A creature takes 8d8 Force damage on a failed save or half as much damage on a successful one.",""
"Conjure Woodland Beings","PHB'24","255","4th","Action","Concentration, up to 10 minutes","Conjuration","Self","V, S","Druid, Ranger","","You conjure nature spirits that flit around you in a 10-foot Emanation for the duration. Whenever the Emanation enters the space of a creature you can see and whenever a creature you can see enters the Emanation or ends its turn there, you can force that creature to make a Wisdom saving throw. The creature takes 5d8 Force damage on a failed save or half as much damage on a successful one. A creature makes this save only once per turn.In addition, you can take the Disengage action as a Bonus Action for the spell's duration."," Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4."
"Cordon of Arrows","PHB'24","258","2nd","Action","8 hours","Transmutation","Touch","V, S, M (four or more arrows or bolts)","Ranger","","You touch up to four nonmagical Arrows or Bolts and plant them in the ground in your space. Until the spell ends, the ammunition can't be physically uprooted, and whenever a creature other than you enters a space within 30 feet of the ammunition for the first time on a turn or ends its turn there, one piece of ammunition flies up to strike it. The creature must succeed on a Dexterity saving throw or take 2d4 Piercing damage. The piece of ammunition is then destroyed. The spell ends when none of the ammunition remains planted in the ground.When you cast this spell, you can designate any creatures you choose, and the spell ignores them."," Using a Higher-Level Spell Slot. The amount of ammunition that can be affected increases by two for each spell slot level above 2."
"Cure Wounds","PHB'24","259","1st","Action","Instantaneous","Abjuration","Touch","V, S","Artificer, Bard, Cleric, Druid, Paladin, Ranger","","A creature you touch regains a number of Hit Points equal to 2d8 plus your spellcasting ability modifier."," Using a Higher-Level Spell Slot. The healing increases by 2d8 for each spell slot level above 1."
"Darkvision","PHB'24","260","2nd","Action","8 hours","Transmutation","Touch","V, S, M (a dried carrot)","Artificer, Druid, Ranger, Sorcerer, Wizard","","For the duration, a willing creature you touch has Darkvision with a range of 150 feet.",""
